1788273565.869227945 POLL pid=140655 state=DEAD
1788273566.371308491 POLL pid=140655 state=DEAD
1788273566.873627976 POLL pid=140655 state=DEAD
1788273567.375671137 POLL pid=140655 state=DEAD
1788273567.878038440 POLL pid=140655 state=DEAD
1788273568.380499260 POLL pid=140655 state=DEAD
1788273568.883314612 POLL pid=140655 state=DEAD
1788273569.385477404 POLL pid=140655 state=DEAD
1788273569.888025089 POLL pid=140655 state=DEAD
1788273570.390425465 POLL pid=140655 state=DEAD
1788273570.892656195 POLL pid=140655 state=DEAD
1788273571.395354581 POLL pid=140655 state=DEAD
1788273571.897591045 POLL pid=140655 state=DEAD
1788273572.400244666 POLL pid=140655 state=DEAD
1788273572.903110954 POLL pid=140655 state=DEAD
1788273573.405287848 POLL pid=140655 state=DEAD
1788273573.908329471 POLL pid=140655 state=DEAD
1788273574.411508830 POLL pid=140655 state=DEAD
1788273574.914687892 POLL pid=140655 state=DEAD
1788273575.417830849 POLL pid=140655 state=DEAD
1788273575.920282505 POLL pid=140655 state=DEAD
1788273576.422448253 POLL pid=140655 state=DEAD
1788273576.924935504 POLL pid=140655 state=DEAD
1788273577.427364700 POLL pid=140655 state=DEAD
1788273577.930340180 POLL pid=140655 state=DEAD
1788273578.433112051 POLL pid=140655 state=DEAD
1788273578.935266507 POLL pid=140655 state=DEAD
1788273579.437792104 POLL pid=140655 state=DEAD
1788273579.940029725 POLL pid=140655 state=DEAD
1788273580.442046642 POLL pid=140655 state=DEAD
1788273580.944562629 POLL pid=140655 state=DEAD
1788273581.447088415 POLL pid=140655 state=DEAD
1788273581.949859819 POLL pid=140655 state=DEAD
1788273582.452365608 POLL pid=140655 state=DEAD
1788273582.955126748 POLL pid=140655 state=DEAD
1788273583.457589549 POLL pid=140655 state=DEAD
1788273583.960663004 POLL pid=140655 state=DEAD
1788273584.464361891 POLL pid=140655 state=DEAD
1788273584.967038031 POLL pid=140655 state=DEAD
1788273585.470373455 POLL pid=140655 state=DEAD
1788273585.974306350 POLL pid=140655 state=DEAD
1788273586.477201204 POLL pid=140655 state=DEAD
1788273586.980567390 POLL pid=140655 state=DEAD
1788273587.483691442 POLL pid=140655 state=DEAD
1788273587.987244358 POLL pid=140655 state=DEAD
1788273588.490199639 POLL pid=140655 state=DEAD
1788273588.992631675 POLL pid=140655 state=DEAD
1788273589.495722951 POLL pid=140655 state=DEAD
1788273589.998892856 POLL pid=140655 state=DEAD
1788273590.501679261 POLL pid=140655 state=DEAD
1788273591.004023790 POLL pid=140655 state=DEAD
1788273591.066968445 POSTCHECK +150s pid=140655 state=DEAD
1788273591.506477201 POLL pid=140655 state=DEAD
1788273592.008927935 POLL pid=140655 state=DEAD
1788273592.511454301 POLL pid=140655 state=DEAD
1788273593.014387364 POLL pid=140655 state=DEAD
1788273593.516893164 POLL pid=140655 state=DEAD
1788273594.018986745 POLL pid=140655 state=DEAD
1788273594.521632983 POLL pid=140655 state=DEAD
1788273595.023969724 POLL pid=140655 state=DEAD
1788273595.527101879 POLL pid=140655 state=DEAD
1788273596.029861072 POLL pid=140655 state=DEAD
1788273596.532175200 POLL pid=140655 state=DEAD
1788273597.035176990 POLL pid=140655 state=DEAD
1788273597.537827612 POLL pid=140655 state=DEAD
1788273598.040900020 POLL pid=140655 state=DEAD
1788273598.544248269 POLL pid=140655 state=DEAD
1788273599.047288535 POLL pid=140655 state=DEAD
1788273599.549876464 POLL pid=140655 state=DEAD
1788273600.052257597 POLL pid=140655 state=DEAD
1788273600.555348840 POLL pid=140655 state=DEAD
1788273601.057558885 POLL pid=140655 state=DEAD
1788273601.560366330 POLL pid=140655 state=DEAD
1788273602.062705697 POLL pid=140655 state=DEAD
1788273602.565066467 POLL pid=140655 state=DEAD
1788273603.067373799 POLL pid=140655 state=DEAD
1788273603.569933472 POLL pid=140655 state=DEAD
1788273604.073987766 POLL pid=140655 state=DEAD
